iter	RMSE
209	0.5109226974
210	0.5103118909
211	0.5100515524
212	0.5096139603
213	0.5093912545
214	0.5089473172
215	0.5084574909
216	0.5080570414
217	0.5075320221
218	0.5072564632
219	0.5070056095
220	0.5065618265
221	0.5062414927
222	0.5060039526
223	0.5054435682
224	0.5049355956
225	0.5044242801
226	0.5039688833
227	0.5035524566
228	0.5031459325
229	0.5029579838
230	0.5027319712
231	0.5025572351
232	0.5019237658
233	0.5017060671
234	0.5014307028
235	0.5008598712
236	0.500439128
237	0.5000804944
238	0.4996086213
239	0.4994337914
240	0.4991325584
241	0.4989184178
242	0.4984858056
243	0.4980620521
244	0.4977238931
245	0.4974459527
246	0.4968432858
247	0.4965633106
248	0.4962675107
249	0.4960140686
250	0.4954792198
251	0.4952537656
252	0.4947913061
253	0.4942420706
254	0.4940400202
255	0.4935213095
256	0.4930449803
257	0.4928896289
258	0.4925197767
259	0.4922566319
260	0.4919374606
261	0.4915230354
262	0.4910647236
263	0.4909503662
264	0.4905913581
265	0.4904417477
266	0.4902384324
267	0.489845529
268	0.4895198441
269	0.489340804
270	0.489223898
271	0.4887841479
272	0.4884907304
273	0.4883667017
274	0.4879674549
275	0.4876294891
276	0.4872511698
277	0.4868933341
278	0.4863666085
279	0.4860926544
280	0.4859163174
281	0.4855339103
282	0.4853662184
283	0.4850561332
284	0.4847404097
285	0.4845832732
286	0.4842474362
287	0.4841620794
288	0.4836232034
289	0.4833089747
290	0.4830056948
291	0.4827093952
292	0.4825981838
293	0.4822798752
294	0.4820150852
295	0.4818403518
296	0.4812234046
297	0.4809337512
298	0.4805988774
299	0.4803775387
300	0.4801526908
301	0.4796356598
302	0.4791680216
303	0.4786569753
304	0.4784050912
305	0.478001253
306	0.4779056264
307	0.4773611757
308	0.4770929593
309	0.4765823969
310	0.4762232674
311	0.4758051615
312	0.4756812995
313	0.4755254992
314	0.4753785819
315	0.4749426026
316	0.4744415853
317	0.4743633147
318	0.4740465936
319	0.4738024361
320	0.4733877029
321	0.4729378032
322	0.4728499716
323	0.4727336744
324	0.4724789404
325	0.4723910744
326	0.4718909283
327	0.4717947504
328	0.4715591396
329	0.4713949903
330	0.471061198
331	0.4709832419
332	0.470493689
333	0.4703546779
334	0.4701519174
335	0.4698853702
336	0.4697786512
337	0.4695679555
338	0.4693484875
339	0.4691666225
340	0.4690175085
341	0.4689369993
342	0.4688105015
343	0.4685091706
344	0.4682213432
345	0.4681348092
346	0.4679607286
347	0.4678602879
348	0.4674515242
349	0.4672815023
350	0.4670471566
351	0.4669146704
352	0.4666132063
353	0.4661782839
354	0.4660386076
355	0.4656352651
356	0.4653600847
357	0.4651992541
358	0.4651077038
359	0.4647592603
360	0.4644325473
361	0.4642153527
362	0.4636974883
363	0.4635950883
364	0.4632565777
365	0.4628373669
366	0.4627227152
367	0.46227205
368	0.4620376502
369	0.4618340394
370	0.4615139861
371	0.4614404316
372	0.4611056556
373	0.4610105841
374	0.4605728953
375	0.460475846
376	0.4603826324
377	0.4601761551
378	0.4599826673
379	0.4596780139
380	0.4595802073
381	0.4594679039
382	0.4593867097
383	0.4592385452
384	0.45896342
385	0.4585065949
386	0.4582767843
387	0.4578418372
388	0.4575520904
389	0.4574629893
390	0.4573573879
391	0.4571224342
392	0.4568845149
393	0.4565252015
394	0.4562111119
395	0.456019142
396	0.4559134742
397	0.4557574198
398	0.4554119884
399	0.4550636183
400	0.4548422631
401	0.4547291929
402	0.4546040492
403	0.4541898663
404	0.453986362
405	0.453733908
406	0.4534665764
407	0.4532840482
408	0.4530448174
409	0.4527447062
410	0.4526661696
411	0.4525746038
412	0.4524008852
413	0.4520933268
414	0.451827715
415	0.4517435404
416	0.4516263739
417	0.4515044975
418	0.4511717796
419	0.4509647569
420	0.4506090651
421	0.4503620376
422	0.4502661153
423	0.4501081693
424	0.4499509222
425	0.4497451513
426	0.4495655399
427	0.4493566141
428	0.4492879102
429	0.4490461889
430	0.4489869121
431	0.4489147373
432	0.4488556492
433	0.4485629902
434	0.4480796387
435	0.4479429675
436	0.4478714742
437	0.4475485829
438	0.4473111867
439	0.4470523719
440	0.4467812253
441	0.4464335914
